DATA_OBITO,OUTRAS,COVID - MS,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-08-06,17,0,0,9,14,8,0
2019-08-07,19,0,0,1,7,8,0
2019-08-08,22,0,1,1,12,7,0
2019-08-09,17,0,0,2,16,2,0
2019-08-10,20,0,0,2,11,3,0
2019-08-11,25,0,0,5,13,6,0
2019-08-12,31,0,1,2,11,4,0
2019-08-13,16,0,0,8,7,5,0
2019-08-14,22,0,1,3,13,5,0
2019-08-15,25,0,0,6,14,7,0
2019-08-16,25,0,0,1,17,2,0
2019-08-17,22,0,0,1,10,4,0
2019-08-18,15,0,0,6,11,7,0
2019-08-19,25,0,0,5,12,4,0
2019-08-20,24,0,1,4,8,9,0
2019-08-21,18,0,0,4,16,1,0
2019-08-22,22,0,0,6,12,2,0
2019-08-23,23,0,1,5,15,2,0
2019-08-24,22,0,0,2,9,8,0
2019-08-25,23,0,0,3,11,5,0
2019-08-26,30,0,0,4,17,8,0
2019-08-27,27,0,0,5,7,6,0
2019-08-28,20,0,0,4,8,2,0
2019-08-29,24,0,0,3,14,10,0
2019-08-30,23,0,1,0,14,7,0
2019-08-31,30,0,0,4,13,10,0
2019-09-01,21,0,0,6,9,4,0
2019-09-02,22,0,0,3,9,8,0
2019-09-03,21,0,0,4,11,9,0
2019-09-04,19,0,0,1,15,9,0
2019-09-05,28,0,0,3,13,6,0
2019-09-06,20,0,0,3,6,4,0
2019-09-07,23,0,1,0,7,6,0
2019-09-08,19,0,0,2,13,4,0
2019-09-09,28,0,0,3,10,3,0
2019-09-10,35,0,0,4,16,6,0
2019-09-11,26,0,0,6,7,5,1
2019-09-12,25,0,2,4,16,5,0
2019-09-13,20,0,0,3,11,8,1
2019-09-14,25,0,0,2,14,2,0
2019-09-15,22,0,1,7,15,9,0
2019-09-16,24,0,0,6,16,6,0
2019-09-17,23,0,0,6,15,6,0
2019-09-18,21,0,1,2,15,9,0
2019-09-19,22,0,0,0,11,3,0
2019-09-20,25,0,1,4,10,4,0
2019-09-21,16,0,0,6,8,4,0
2019-09-22,38,0,0,1,6,9,0
2019-09-23,13,0,0,1,8,3,0
2019-09-24,28,0,1,8,13,4,0
2019-09-25,19,0,0,1,9,8,1
2019-09-26,20,0,0,5,12,3,0
2019-09-27,25,0,1,5,13,1,1
2019-09-28,26,0,0,2,7,6,0
2019-09-29,30,0,0,3,8,10,0
2019-09-30,14,0,0,1,10,3,0
2019-10-01,27,0,0,7,11,3,0
2019-10-02,25,0,1,2,9,7,0
2019-10-03,22,0,0,4,7,4,0
2019-10-04,24,0,1,3,18,3,0
2019-10-05,24,0,0,3,8,6,0
2019-10-06,20,0,0,7,4,6,0
