DATA_OBITO,OUTRAS,COVID - PR,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-07-06,140,0,0,18,30,18,0
2019-07-07,142,0,1,14,34,21,0
2019-07-08,139,0,1,25,38,30,1
2019-07-09,112,0,1,18,48,22,0
2019-07-10,107,0,1,13,51,27,1
2019-07-11,131,0,1,15,39,28,0
2019-07-12,111,0,2,11,43,31,0
2019-07-13,102,0,1,14,48,29,1
2019-07-14,139,0,1,15,48,36,1
2019-07-15,111,0,3,11,43,27,0
2019-07-16,120,0,1,16,40,32,0
2019-07-17,109,0,1,21,44,19,0
2019-07-18,114,0,0,19,43,26,0
2019-07-19,109,0,0,13,50,25,1
2019-07-20,126,0,4,12,49,32,0
2019-07-21,115,0,0,14,41,34,1
2019-07-22,122,0,2,20,50,20,1
2019-07-23,124,0,1,16,49,23,1
2019-07-24,105,0,2,23,47,25,0
2019-07-25,108,0,1,17,43,24,1
2019-07-26,101,0,3,9,44,24,0
2019-07-27,116,0,2,22,38,19,0
2019-07-28,117,0,0,16,47,29,0
2019-07-29,119,0,0,18,38,26,0
2019-07-30,105,0,0,16,33,27,1
2019-07-31,110,0,0,12,35,20,1
2019-08-01,123,0,1,21,39,16,0
2019-08-02,92,0,0,19,43,15,0
2019-08-03,80,0,1,14,35,25,0
2019-08-04,105,0,2,17,45,27,1
2019-08-05,89,0,2,15,42,31,0
2019-08-06,106,0,1,11,55,22,0
2019-08-07,102,0,1,17,49,25,0
2019-08-08,110,0,1,20,38,29,1
2019-08-09,104,0,2,11,35,23,0
2019-08-10,120,0,2,20,38,34,1
2019-08-11,114,0,0,19,47,18,1
2019-08-12,122,0,1,16,39,24,0
2019-08-13,108,0,2,5,41,23,0
2019-08-14,114,0,0,17,36,24,0
2019-08-15,92,0,0,8,31,21,0
2019-08-16,108,0,2,11,35,23,0
2019-08-17,128,0,3,18,51,35,0
2019-08-18,105,0,2,20,30,28,0
2019-08-19,104,0,0,13,34,33,1
2019-08-20,82,0,2,15,28,26,2
2019-08-21,105,0,0,14,45,30,1
2019-08-22,119,0,2,19,26,18,0
2019-08-23,97,0,2,10,32,27,1
2019-08-24,117,0,1,17,37,24,0
2019-08-25,117,0,3,14,30,32,0
2019-08-26,106,0,2,20,25,27,1
2019-08-27,94,0,2,12,47,35,0
2019-08-28,68,0,1,9,44,16,1
2019-08-29,98,0,1,20,48,20,0
2019-08-30,137,0,1,15,60,21,0
2019-08-31,124,0,1,23,42,30,0
2019-09-01,104,0,0,13,38,23,1
2019-09-02,100,0,1,14,35,18,0
2019-09-03,113,0,0,11,33,23,0
2019-09-04,113,0,2,13,42,24,0
2019-09-05,96,0,2,14,42,27,1
2019-09-06,97,0,1,16,44,28,2
2019-09-07,103,0,2,9,31,25,0
2019-09-08,125,0,3,16,43,24,0
2019-09-09,134,0,0,18,41,35,0
2019-09-10,100,0,1,26,44,37,0
2019-09-11,139,0,0,13,48,40,0
2019-09-12,101,0,1,14,36,24,0
2019-09-13,90,0,0,22,47,26,0
2019-09-14,81,0,1,12,41,24,0
2019-09-15,94,0,2,12,48,32,0
2019-09-16,101,0,1,13,32,40,0
2019-09-17,102,0,2,21,31,27,1
2019-09-18,101,0,0,15,55,21,1
2019-09-19,94,0,0,12,44,35,1
2019-09-20,100,0,0,10,39,22,0
2019-09-21,90,0,0,14,30,21,0
2019-09-22,93,0,0,17,27,21,1
2019-09-23,81,0,1,9,41,21,0
2019-09-24,106,0,1,15,38,30,1
2019-09-25,102,0,2,16,33,18,0
2019-09-26,79,0,0,10,32,35,1
2019-09-27,104,0,1,19,35,33,0
2019-09-28,128,0,1,12,24,32,0
2019-09-29,91,0,1,8,27,17,0
2019-09-30,101,0,1,15,32,21,1
2019-10-01,106,0,2,10,28,21,1
2019-10-02,104,0,0,16,36,22,0
2019-10-03,107,0,2,10,37,22,1
2019-10-04,107,0,0,14,28,27,0
2019-10-05,98,0,1,12,46,28,0
2019-10-06,95,0,0,11,30,19,0
