DATA_OBITO,OUTRAS,COVID - DF,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-05-10,13,0,1,3,10,6,0
2019-05-11,14,0,1,3,15,10,0
2019-05-12,13,0,0,1,9,6,0
2019-05-13,23,0,0,4,12,15,0
2019-05-14,18,0,0,4,10,8,0
2019-05-15,17,0,0,8,6,12,0
2019-05-16,20,0,0,5,8,13,0
2019-05-17,10,0,0,1,7,11,0
2019-05-18,21,0,0,7,6,6,0
2019-05-19,9,0,2,3,15,7,0
2019-05-20,19,0,2,5,3,9,0
2019-05-21,15,0,0,1,8,7,0
2019-05-22,16,0,0,1,15,7,0
2019-05-23,15,0,1,2,9,3,0
2019-05-24,22,0,1,4,12,7,0
2019-05-25,12,0,0,5,8,3,0
2019-05-26,18,0,0,4,11,7,0
2019-05-27,23,0,1,5,9,8,1
2019-05-28,14,0,0,0,9,10,0
2019-05-29,16,0,2,3,8,6,2
2019-05-30,19,0,0,2,8,7,0
2019-05-31,14,0,1,4,13,9,0
2019-06-01,14,0,1,3,9,5,0
2019-06-02,12,0,1,5,5,9,0
2019-06-03,15,0,0,2,9,9,0
2019-06-04,10,0,0,5,12,10,0
2019-06-05,17,0,0,1,10,5,0
2019-06-06,21,0,1,2,12,4,0
2019-06-07,18,0,2,4,11,9,0
2019-06-08,14,0,2,5,5,6,0
2019-06-09,15,0,0,1,10,5,0
2019-06-10,18,0,0,4,17,12,0
2019-06-11,27,0,2,3,6,6,0
2019-06-12,15,0,1,3,14,9,0
2019-06-13,18,0,0,4,11,7,0
2019-06-14,18,0,3,3,11,7,0
2019-06-15,25,0,0,4,15,8,0
2019-06-16,18,0,2,5,8,3,0
2019-06-17,20,0,2,1,10,11,0
2019-06-18,23,0,0,2,14,7,0
2019-06-19,19,0,1,2,13,5,0
2019-06-20,23,0,2,3,7,10,0
2019-06-21,10,0,0,4,2,8,0
2019-06-22,15,0,0,5,7,10,0
2019-06-23,19,0,0,1,16,6,0
2019-06-24,16,0,0,3,7,6,0
2019-06-25,14,0,0,8,12,2,0
2019-06-26,18,0,0,2,15,4,1
2019-06-27,21,0,0,5,9,8,0
2019-06-28,29,0,0,6,11,6,0
2019-06-29,14,0,0,2,16,7,0
2019-06-30,22,0,0,2,14,11,0
2019-07-01,14,0,1,5,10,3,0
2019-07-02,22,0,0,0,7,0,0
2019-07-03,20,0,0,1,11,2,0
2019-07-04,22,0,0,5,6,12,0
2019-07-05,19,0,0,2,12,5,0
2019-07-06,20,0,0,4,13,7,0
2019-07-07,23,0,0,0,12,6,0
2019-07-08,24,0,0,0,6,7,0
2019-07-09,15,0,0,3,6,5,0
2019-07-10,21,0,0,4,9,4,0
2019-07-11,23,0,0,3,8,4,0
2019-07-12,32,0,0,1,5,6,0
2019-07-13,26,0,0,1,9,5,0
2019-07-14,24,0,0,4,13,7,0
2019-07-15,23,0,2,0,9,7,0
2019-07-16,20,0,1,3,9,10,0
2019-07-17,15,0,2,1,9,6,0
2019-07-18,31,0,0,0,9,10,1
2019-07-19,24,0,0,2,9,5,1
2019-07-20,30,0,0,0,7,5,0
2019-07-21,35,0,0,3,8,6,0
2019-07-22,24,0,0,0,4,8,0
2019-07-23,24,0,0,3,9,7,0
2019-07-24,25,0,1,2,7,14,0
2019-07-25,17,0,0,2,11,10,0
2019-07-26,16,0,0,5,8,9,0
2019-07-27,24,0,0,4,3,7,1
2019-07-28,10,0,0,5,8,8,0
2019-07-29,20,0,0,2,14,4,0
2019-07-30,26,0,0,0,6,4,0
2019-07-31,29,0,1,3,10,7,0
2019-08-01,19,0,0,2,7,4,0
2019-08-02,22,0,0,5,10,8,0
2019-08-03,20,0,0,2,14,5,0
2019-08-04,26,0,1,4,8,8,0
2019-08-05,14,0,0,2,11,10,0
2019-08-06,16,0,0,3,9,3,0
2019-08-07,17,0,0,0,12,4,0
2019-08-08,25,0,0,1,13,12,0
2019-08-09,21,0,0,2,7,7,0
2019-08-10,17,0,0,2,12,6,0
2019-08-11,24,0,1,3,11,8,1
2019-08-12,17,0,1,5,6,5,0
2019-08-13,18,0,0,3,6,9,0
2019-08-14,24,0,0,1,4,9,0
2019-08-15,18,0,1,5,13,4,0
2019-08-16,19,0,0,2,10,7,0
2019-08-17,20,0,0,3,12,12,0
2019-08-18,29,0,1,4,9,8,1
2019-08-19,19,0,0,4,14,9,0
2019-08-20,17,0,0,2,17,9,0
2019-08-21,20,0,0,2,16,7,0
2019-08-22,12,0,2,2,7,11,0
2019-08-23,18,0,1,2,13,6,0
2019-08-24,22,0,0,6,6,3,0
2019-08-25,22,0,2,3,11,6,0
2019-08-26,14,0,1,2,9,7,0
2019-08-27,19,0,0,3,6,10,0
2019-08-28,19,0,1,2,8,8,0
2019-08-29,15,0,1,5,4,8,0
2019-08-30,22,0,0,2,8,7,0
2019-08-31,27,0,0,8,9,13,0
2019-09-01,16,0,1,5,13,9,0
2019-09-02,16,0,0,4,15,9,0
2019-09-03,18,0,1,3,10,8,0
2019-09-04,19,0,0,5,10,7,0
2019-09-05,19,0,0,3,13,5,0
2019-09-06,26,0,1,3,7,8,1
2019-09-07,20,0,0,2,10,7,0
2019-09-08,15,0,0,4,8,6,0
2019-09-09,33,0,0,0,7,8,0
2019-09-10,15,0,1,3,11,7,1
2019-09-11,20,0,1,3,9,6,0
2019-09-12,23,0,0,3,8,4,0
2019-09-13,9,0,1,2,12,9,1
2019-09-14,21,0,1,5,10,2,0
2019-09-15,18,0,0,2,7,8,0
2019-09-16,19,0,2,1,10,8,0
2019-09-17,22,0,0,3,7,6,0
2019-09-18,15,0,0,4,12,10,0
2019-09-19,30,0,0,1,6,4,0
2019-09-20,34,0,0,4,13,6,0
2019-09-21,25,0,0,2,14,6,0
2019-09-22,20,0,0,3,10,8,0
2019-09-23,31,0,1,1,11,8,1
2019-09-24,26,0,0,5,6,8,0
2019-09-25,15,0,1,2,5,7,2
2019-09-26,22,0,0,6,14,5,0
2019-09-27,11,0,0,3,5,2,0
2019-09-28,16,0,0,3,7,11,1
2019-09-29,18,0,1,2,8,4,0
2019-09-30,33,0,0,2,9,9,0
2019-10-01,18,0,1,3,12,6,0
2019-10-02,23,0,0,2,12,6,0
2019-10-03,21,0,1,3,4,4,1
2019-10-04,21,0,0,2,10,6,0
2019-10-05,20,0,0,2,7,7,0
2019-10-06,26,0,0,0,10,10,0
