DATA_OBITO,OUTRAS,COVID - SP,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-08-30,440,0,3,70,198,106,1
2019-08-31,494,0,2,83,233,136,1
2019-09-01,445,0,6,82,215,126,0
2019-09-02,466,0,5,73,205,127,0
2019-09-03,422,0,3,70,210,97,0
2019-09-04,407,0,1,72,218,121,1
2019-09-05,463,0,2,66,214,115,1
2019-09-06,451,0,2,72,208,119,3
2019-09-07,484,0,9,77,196,137,0
2019-09-08,481,0,1,53,214,115,0
2019-09-09,494,0,2,86,197,116,0
2019-09-10,434,0,9,89,219,138,3
2019-09-11,459,0,1,70,237,128,1
2019-09-12,479,0,3,70,241,125,2
2019-09-13,451,0,2,56,224,131,0
2019-09-14,436,0,1,73,195,131,1
2019-09-15,422,0,4,86,213,106,3
2019-09-16,482,0,1,69,231,145,1
2019-09-17,424,0,5,69,205,130,1
2019-09-18,474,0,9,78,225,140,0
2019-09-19,428,0,3,69,227,134,0
2019-09-20,425,0,2,72,237,124,1
2019-09-21,404,0,5,72,188,142,1
2019-09-22,406,0,1,72,186,105,2
2019-09-23,406,0,7,69,193,117,2
2019-09-24,409,0,8,67,185,115,2
2019-09-25,418,0,3,54,191,116,0
2019-09-26,439,0,1,72,191,95,1
2019-09-27,444,0,2,55,173,94,0
2019-09-28,428,0,4,61,180,117,0
2019-09-29,437,0,3,55,160,111,1
2019-09-30,451,0,1,85,194,89,0
2019-10-01,469,0,1,70,170,122,1
2019-10-02,427,0,5,60,214,116,2
2019-10-03,393,0,0,75,216,121,4
2019-10-04,403,0,2,74,190,126,0
2019-10-05,471,0,5,47,212,113,0
2019-10-06,440,0,0,72,180,131,1
