DATA_OBITO,OUTRAS,COVID - RJ,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-06-22,195,0,0,20,87,75,0
2019-06-23,195,0,0,26,100,74,0
2019-06-24,226,0,0,27,92,87,0
2019-06-25,213,0,0,21,83,72,0
2019-06-26,234,0,0,23,80,71,0
2019-06-27,195,0,0,27,82,56,0
2019-06-28,225,0,1,29,71,66,0
2019-06-29,216,0,0,23,74,59,0
2019-06-30,220,0,3,28,82,57,0
2019-07-01,222,0,1,27,75,81,0
2019-07-02,241,0,0,30,63,55,0
2019-07-03,200,0,1,27,86,67,1
2019-07-04,207,0,0,32,67,65,1
2019-07-05,216,0,0,37,83,67,1
2019-07-06,212,0,0,27,75,72,1
2019-07-07,232,0,0,24,73,74,1
2019-07-08,217,0,1,25,61,57,0
2019-07-09,195,0,1,30,70,75,0
2019-07-10,218,0,1,28,65,53,0
2019-07-11,215,0,0,25,71,62,0
2019-07-12,219,0,0,33,87,67,0
2019-07-13,239,0,1,24,65,71,0
2019-07-14,250,0,0,35,59,62,0
2019-07-15,221,0,0,25,80,85,1
2019-07-16,239,0,0,29,72,70,0
2019-07-17,221,0,1,28,63,55,0
2019-07-18,235,0,1,28,88,72,1
2019-07-19,268,0,0,28,84,72,1
2019-07-20,242,0,1,25,92,59,0
2019-07-21,229,0,1,25,70,77,0
2019-07-22,264,0,0,23,87,70,0
2019-07-23,236,0,0,23,68,69,0
2019-07-24,223,0,0,33,75,87,1
2019-07-25,230,0,1,38,58,66,1
2019-07-26,216,0,1,25,76,74,0
2019-07-27,218,0,1,27,61,59,0
2019-07-28,235,0,0,25,73,72,0
2019-07-29,215,0,2,23,93,74,1
2019-07-30,206,0,1,38,94,76,0
2019-07-31,208,0,0,26,72,65,0
2019-08-01,204,0,0,38,85,59,0
2019-08-02,229,0,0,33,67,90,0
2019-08-03,224,0,1,21,67,63,0
2019-08-04,214,0,0,26,58,67,0
2019-08-05,205,0,0,20,74,63,1
2019-08-06,222,0,1,30,73,73,0
2019-08-07,244,0,0,39,70,63,0
2019-08-08,224,0,0,32,79,60,1
2019-08-09,209,0,1,36,77,77,0
