DATA_OBITO,OUTRAS,COVID - PB,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-08-19,39,0,0,5,14,6,0
2019-08-20,39,0,2,6,11,11,0
2019-08-21,35,0,0,13,8,11,0
2019-08-22,58,0,2,6,15,8,1
2019-08-23,38,0,0,5,9,15,0
2019-08-24,37,0,0,8,14,6,0
2019-08-25,41,0,0,4,21,13,0
2019-08-26,36,0,1,7,7,16,0
2019-08-27,46,0,0,8,15,19,0
2019-08-28,45,0,0,9,14,9,1
2019-08-29,39,0,0,5,21,11,0
2019-08-30,43,0,2,7,12,17,0
2019-08-31,39,0,2,5,15,11,0
2019-09-01,39,0,0,1,14,6,0
2019-09-02,39,0,1,6,14,9,0
2019-09-03,50,0,1,6,14,6,0
2019-09-04,36,0,0,7,13,12,0
2019-09-05,42,0,0,7,11,10,0
2019-09-06,27,0,0,8,10,7,0
2019-09-07,39,0,0,10,14,5,0
2019-09-08,43,0,0,6,15,11,0
2019-09-09,42,0,0,7,12,8,0
2019-09-10,42,0,1,6,12,14,0
2019-09-11,32,0,0,11,17,13,0
2019-09-12,30,0,0,6,10,8,0
2019-09-13,42,0,1,6,18,8,0
2019-09-14,35,0,0,4,6,5,0
2019-09-15,37,0,1,7,12,14,0
2019-09-16,32,0,0,1,11,7,0
2019-09-17,38,0,0,6,9,6,0
2019-09-18,31,0,0,7,8,8,0
2019-09-19,37,0,0,10,11,6,0
2019-09-20,37,0,1,9,12,10,0
2019-09-21,38,0,0,10,15,8,0
2019-09-22,36,0,0,6,15,13,0
2019-09-23,40,0,0,3,19,20,0
2019-09-24,31,0,0,11,8,14,0
2019-09-25,49,0,0,3,16,8,0
2019-09-26,46,0,1,7,14,8,0
2019-09-27,27,0,0,7,13,6,0
2019-09-28,35,0,1,8,10,7,0
2019-09-29,35,0,0,8,15,6,0
2019-09-30,36,0,0,6,9,9,0
2019-10-01,25,0,1,5,6,9,0
2019-10-02,33,0,0,11,20,5,0
2019-10-03,40,0,0,6,13,8,0
2019-10-04,45,0,0,10,18,14,0
2019-10-05,30,0,1,8,16,10,0
2019-10-06,31,0,0,4,11,10,0
