DATA_OBITO,OUTRAS,COVID - PA,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-07-23,32,0,0,7,11,9,0
2019-07-24,30,0,1,13,8,11,0
2019-07-25,33,0,1,5,11,8,0
2019-07-26,26,0,0,7,7,10,0
2019-07-27,34,0,0,3,16,8,0
2019-07-28,32,0,1,7,11,2,0
2019-07-29,43,0,0,6,19,7,0
2019-07-30,24,0,0,15,9,8,0
2019-07-31,41,0,0,6,13,10,0
2019-08-01,34,0,0,9,11,9,0
2019-08-02,26,0,0,3,8,5,0
2019-08-03,42,0,2,6,8,4,0
2019-08-04,35,0,0,4,19,14,0
2019-08-05,37,0,2,7,13,9,0
2019-08-06,20,0,0,6,12,9,0
2019-08-07,36,0,1,6,14,10,0
2019-08-08,35,0,0,5,9,8,0
2019-08-09,47,0,0,6,13,8,0
2019-08-10,28,0,0,7,10,7,0
2019-08-11,41,0,1,5,17,9,0
2019-08-12,50,0,0,12,17,5,0
2019-08-13,39,0,0,7,17,13,0
2019-08-14,35,0,1,8,14,7,1
2019-08-15,31,0,1,10,10,3,0
2019-08-16,38,0,1,8,9,7,0
2019-08-17,37,0,1,10,9,5,0
2019-08-18,40,0,0,3,9,10,0
2019-08-19,24,0,1,7,9,9,0
2019-08-20,31,0,0,6,13,3,0
2019-08-21,42,0,1,8,14,7,0
2019-08-22,40,0,0,7,15,11,0
2019-08-23,40,0,0,9,16,5,0
2019-08-24,22,0,1,5,12,10,1
2019-08-25,35,0,0,4,14,6,1
2019-08-26,32,0,0,8,10,8,0
2019-08-27,31,0,1,6,17,8,0
2019-08-28,40,0,1,9,6,5,0
2019-08-29,38,0,2,4,7,12,0
2019-08-30,42,0,0,12,12,8,0
2019-08-31,33,0,0,6,9,9,0
2019-09-01,40,0,0,11,13,10,0
2019-09-02,32,0,3,6,15,11,0
2019-09-03,35,0,2,8,10,10,1
2019-09-04,42,0,0,7,12,10,0
2019-09-05,29,0,0,3,11,6,0
2019-09-06,38,0,1,1,11,11,0
2019-09-07,29,0,0,7,8,6,0
2019-09-08,38,0,0,12,16,8,0
2019-09-09,38,0,0,10,18,11,0
2019-09-10,35,0,0,11,17,7,1
2019-09-11,38,0,1,6,13,9,0
2019-09-12,33,0,0,7,13,9,0
2019-09-13,47,0,0,8,10,7,0
2019-09-14,30,0,1,6,15,9,0
2019-09-15,42,0,1,6,11,8,1
2019-09-16,25,0,0,3,10,6,0
2019-09-17,27,0,1,6,11,5,0
2019-09-18,35,0,1,6,11,3,0
2019-09-19,27,0,2,6,14,8,0
2019-09-20,27,0,0,15,16,10,0
2019-09-21,36,0,1,3,11,7,0
2019-09-22,33,0,0,8,13,5,0
2019-09-23,32,0,0,8,8,6,0
2019-09-24,38,0,0,5,10,8,0
2019-09-25,36,0,0,7,12,5,0
2019-09-26,42,0,0,5,18,4,0
2019-09-27,33,0,1,6,13,9,0
2019-09-28,49,0,0,6,15,3,0
2019-09-29,29,0,0,8,9,8,1
2019-09-30,32,0,0,9,12,10,0
2019-10-01,30,0,0,5,10,7,0
2019-10-02,39,0,0,5,22,5,0
2019-10-03,27,0,0,4,10,8,0
2019-10-04,49,0,0,7,14,3,0
2019-10-05,29,0,0,6,12,6,0
2019-10-06,38,0,0,10,10,3,0
